INSERT INTO ALIMENT (REFERENCIA, NOM, PREU) VALUES
(809, 'NIF809', '2023-7-25', 'N'),
(810, 'NIF810', '2023-1-15', 'N'),
(811, 'NIF811', '2023-4-21', 'S'),
(812, 'NIF812', '2023-8-13', 'S'),
(813, 'NIF813', '2023-6-4', 'N'),
(814, 'NIF814', '2023-12-11', 'N'),
(815, 'NIF815', '2023-10-15', 'S'),
(816, 'NIF816', '2023-3-17', 'N'),
(817, 'NIF817', '2023-9-5', 'N'),
(818, 'NIF818', '2023-5-9', 'S'),
(819, 'NIF819', '2023-12-2', 'N'),
(820, 'NIF820', '2023-9-14', 'N'),
(821, 'NIF821', '2023-5-15', 'N'),
(822, 'NIF822', '2023-1-9', 'S'),
(823, 'NIF823', '2023-7-14', 'S'),
(824, 'NIF824', '2023-4-25', 'N'),
(825, 'NIF825', '2023-5-13', 'N'),
(826, 'NIF826', '2023-7-2', 'S'),
(827, 'NIF827', '2023-1-6', 'N'),
(828, 'NIF828', '2023-1-10', 'S'),
(829, 'NIF829', '2023-12-2', 'N'),
(830, 'NIF830', '2023-5-23', 'N'),
(831, 'NIF831', '2023-1-25', 'S'),
(832, 'NIF832', '2023-5-3', 'S'),
(833, 'NIF833', '2023-4-18', 'N'),
(834, 'NIF834', '2023-2-28', 'N'),
(835, 'NIF835', '2023-8-14', 'S'),
(836, 'NIF836', '2023-12-4', 'N'),
(837, 'NIF837', '2023-3-2', 'N'),
(838, 'NIF838', '2023-12-5', 'S'),
(839, 'NIF839', '2023-4-25', 'N'),
(840, 'NIF840', '2023-3-21', 'N'),
(841, 'NIF841', '2023-12-6', 'S'),
(842, 'NIF842', '2023-10-11', 'S'),
(843, 'NIF843', '2023-10-12', 'N'),
(844, 'NIF844', '2023-12-3', 'N'),
(845, 'NIF845', '2023-3-28', 'S'),
(846, 'NIF846', '2023-12-23', 'S'),
(847, 'NIF847', '2023-4-20', 'N'),
(848, 'NIF848', '2023-9-12', 'N'),
(849, 'NIF849', '2023-1-1', 'N'),
(850, 'NIF850', '2023-3-5', 'N'),
(851, 'NIF851', '2023-2-13', 'S'),
(852, 'NIF852', '2023-5-27', 'S'),
(853, 'NIF853', '2023-7-23', 'S'),
(854, 'NIF854', '2023-10-18', 'N'),
(855, 'NIF855', '2023-8-21', 'S'),
(856, 'NIF856', '2023-10-25', 'S'),
(857, 'NIF857', '2023-3-6', 'S'),
(858, 'NIF858', '2023-2-10', 'N'),
(859, 'NIF859', '2023-6-12', 'N'),
(860, 'NIF860', '2023-12-15', 'S'),
(861, 'NIF861', '2023-6-16', 'N'),
(862, 'NIF862', '2023-10-4', 'S'),
(863, 'NIF863', '2023-3-25', 'S'),
(864, 'NIF864', '2023-8-17', 'N'),
(865, 'NIF865', '2023-12-8', 'N'),
(866, 'NIF866', '2023-11-15', 'N'),
(867, 'NIF867', '2023-7-9', 'N'),
(868, 'NIF868', '2023-1-11', 'S'),
(869, 'NIF869', '2023-1-3', 'S'),
(870, 'NIF870', '2023-7-10', 'N'),
(871, 'NIF871', '2023-4-17', 'N'),
(872, 'NIF872', '2023-7-23', 'N'),
(873, 'NIF873', '2023-5-2', 'S'),
(874, 'NIF874', '2023-2-21', 'S'),
(875, 'NIF875', '2023-8-8', 'S'),
(876, 'NIF876', '2023-5-27', 'N'),
(877, 'NIF877', '2023-4-19', 'N'),
(878, 'NIF878', '2023-1-8', 'S'),
(879, 'NIF879', '2023-5-3', 'N'),
(880, 'NIF880', '2023-2-16', 'S'),
(881, 'NIF881', '2023-5-19', 'S'),
(882, 'NIF882', '2023-2-21', 'S'),
(883, 'NIF883', '2023-2-23', 'S'),
(884, 'NIF884', '2023-9-24', 'N'),
(885, 'NIF885', '2023-5-15', 'N'),
(886, 'NIF886', '2023-2-26', 'S'),
(887, 'NIF887', '2023-2-21', 'N'),
(888, 'NIF888', '2023-2-25', 'N'),
(889, 'NIF889', '2023-10-11', 'S'),
(890, 'NIF890', '2023-10-28', 'N'),
(891, 'NIF891', '2023-4-8', 'S'),
(892, 'NIF892', '2023-1-20', 'S'),
(893, 'NIF893', '2023-10-12', 'N'),
(894, 'NIF894', '2023-2-27', 'S'),
(895, 'NIF895', '2023-11-21', 'N'),
(896, 'NIF896', '2023-10-22', 'S'),
(897, 'NIF897', '2023-2-17', 'N'),
(898, 'NIF898', '2023-11-15', 'S'),
(899, 'NIF899', '2023-11-21', 'S'),
(900, 'NIF900', '2023-3-25', 'N'),
(901, 'NIF901', '2023-1-24', 'N'),
(902, 'NIF902', '2023-3-9', 'N'),
(903, 'NIF903', '2023-8-24', 'S'),
(904, 'NIF904', '2023-10-15', 'S'),
(905, 'NIF905', '2023-11-3', 'N'),
(906, 'NIF906', '2023-4-3', 'N'),
(907, 'NIF907', '2023-5-7', 'S'),
(908, 'NIF908', '2023-11-16', 'S'),
(909, 'NIF909', '2023-5-3', 'S'),
(910, 'NIF910', '2023-6-21', 'S'),
(911, 'NIF911', '2023-10-23', 'S'),
(912, 'NIF912', '2023-8-26', 'N'),
(913, 'NIF913', '2023-12-10', 'S'),
(914, 'NIF914', '2023-7-9', 'N'),
(915, 'NIF915', '2023-12-21', 'S'),
(916, 'NIF916', '2023-5-6', 'S'),
(917, 'NIF917', '2023-9-13', 'S'),
(918, 'NIF918', '2023-5-18', 'N'),
(919, 'NIF919', '2023-7-13', 'N'),
(920, 'NIF920', '2023-3-25', 'N'),
(921, 'NIF921', '2023-9-28', 'S'),
(922, 'NIF922', '2023-2-13', 'S'),
(923, 'NIF923', '2023-3-26', 'S'),
(924, 'NIF924', '2023-10-17', 'S'),
(925, 'NIF925', '2023-3-10', 'N'),
(926, 'NIF926', '2023-4-9', 'S'),
(927, 'NIF927', '2023-3-24', 'N'),
(928, 'NIF928', '2023-8-7', 'S'),
(929, 'NIF929', '2023-6-13', 'N'),
(930, 'NIF930', '2023-8-18', 'N'),
(931, 'NIF931', '2023-3-7', 'N'),
(932, 'NIF932', '2023-3-2', 'N'),
(933, 'NIF933', '2023-10-10', 'N'),
(934, 'NIF934', '2023-8-9', 'N'),
(935, 'NIF935', '2023-8-1', 'S'),
(936, 'NIF936', '2023-8-26', 'N'),
(937, 'NIF937', '2023-5-11', 'S'),
(938, 'NIF938', '2023-6-10', 'N'),
(939, 'NIF939', '2023-2-23', 'S'),
(940, 'NIF940', '2023-9-3', 'S'),
(941, 'NIF941', '2023-11-26', 'S'),
(942, 'NIF942', '2023-4-18', 'N'),
(943, 'NIF943', '2023-5-8', 'S'),
(944, 'NIF944', '2023-9-24', 'N'),
(945, 'NIF945', '2023-11-15', 'S'),
(946, 'NIF946', '2023-6-13', 'S'),
(947, 'NIF947', '2023-5-17', 'S'),
(948, 'NIF948', '2023-8-9', 'S'),
(949, 'NIF949', '2023-1-22', 'S'),
(950, 'NIF950', '2023-11-21', 'N'),
(951, 'NIF951', '2023-9-2', 'S'),
(952, 'NIF952', '2023-9-25', 'S'),
(953, 'NIF953', '2023-2-6', 'S'),
(954, 'NIF954', '2023-4-13', 'S'),
(955, 'NIF955', '2023-8-26', 'N'),
(956, 'NIF956', '2023-12-1', 'S'),
(957, 'NIF957', '2023-12-5', 'S'),
(958, 'NIF958', '2023-8-5', 'N'),
(959, 'NIF959', '2023-8-7', 'N'),
(960, 'NIF960', '2023-6-10', 'N'),
(961, 'NIF961', '2023-11-13', 'S'),
(962, 'NIF962', '2023-12-10', 'N'),
(963, 'NIF963', '2023-3-1', 'N'),
(964, 'NIF964', '2023-12-14', 'S'),
(965, 'NIF965', '2023-4-1', 'S'),
(966, 'NIF966', '2023-3-14', 'S'),
(967, 'NIF967', '2023-7-17', 'S'),
(968, 'NIF968', '2023-5-11', 'N'),
(969, 'NIF969', '2023-4-18', 'N'),
(970, 'NIF970', '2023-2-14', 'S'),
(971, 'NIF971', '2023-6-10', 'S'),
(972, 'NIF972', '2023-7-19', 'S'),
(973, 'NIF973', '2023-9-1', 'S'),
(974, 'NIF974', '2023-6-24', 'N'),
(975, 'NIF975', '2023-7-19', 'S'),
(976, 'NIF976', '2023-12-24', 'N'),
(977, 'NIF977', '2023-10-17', 'S'),
(978, 'NIF978', '2023-11-25', 'S'),
(979, 'NIF979', '2023-8-24', 'S'),
(980, 'NIF980', '2023-2-8', 'N'),
(981, 'NIF981', '2023-4-13', 'N'),
(982, 'NIF982', '2023-1-23', 'S'),
(983, 'NIF983', '2023-1-11', 'S'),
(984, 'NIF984', '2023-9-14', 'S'),
(985, 'NIF985', '2023-6-16', 'N'),
(986, 'NIF986', '2023-10-4', 'N'),
(987, 'NIF987', '2023-10-20', 'S'),
(988, 'NIF988', '2023-10-21', 'N'),
(989, 'NIF989', '2023-10-14', 'N'),
(990, 'NIF990', '2023-7-28', 'S'),
(991, 'NIF991', '2023-2-22', 'N'),
(992, 'NIF992', '2023-12-17', 'S'),
(993, 'NIF993', '2023-10-4', 'S'),
(994, 'NIF994', '2023-12-16', 'N'),
(995, 'NIF995', '2023-12-28', 'N'),
(996, 'NIF996', '2023-3-16', 'N'),
(997, 'NIF997', '2023-11-1', 'N'),
(998, 'NIF998', '2023-3-17', 'N'),
(999, 'NIF999', '2023-7-15', 'S'),
(1000, 'NIF1000', '2023-5-22', 'N'),
(1001, 'NIF1001', '2023-8-26', 'N'),
(1002, 'NIF1002', '2023-1-3', 'N'),
(1003, 'NIF1003', '2023-1-6', 'S'),
(1004, 'NIF1004', '2023-6-21', 'N'),
(1005, 'NIF1005', '2023-10-23', 'S'),
(1006, 'NIF1006', '2023-4-23', 'S'),
(1007, 'NIF1007', '2023-8-20', 'N'),
(1008, 'NIF1008', '2023-1-5', 'S'),
(1009, 'NIF1009', '2023-4-24', 'N'),
(1010, 'NIF1010', '2023-6-24', 'N'),
(1011, 'NIF1011', '2023-10-19', 'N'),
(1012, 'NIF1012', '2023-4-24', 'N'),
(1013, 'NIF1013', '2023-2-8', 'S'),
(1014, 'NIF1014', '2023-10-21', 'S'),
(1015, 'NIF1015', '2023-12-21', 'N'),
(1016, 'NIF1016', '2023-5-18', 'S'),
(1017, 'NIF1017', '2023-9-2', 'N'),
(1018, 'NIF1018', '2023-8-18', 'S'),
(1019, 'NIF1019', '2023-10-20', 'S'),
(1020, 'NIF1020', '2023-6-24', 'N'),
(1021, 'NIF1021', '2023-2-5', 'S'),
(1022, 'NIF1022', '2023-3-5', 'S'),
(1023, 'NIF1023', '2023-5-12', 'N'),
(1024, 'NIF1024', '2023-6-19', 'N'),
(1025, 'NIF1025', '2023-3-14', 'N'),
(1026, 'NIF1026', '2023-8-4', 'S'),
(1027, 'NIF1027', '2023-6-9', 'N'),
(1028, 'NIF1028', '2023-7-4', 'N'),
(1029, 'NIF1029', '2023-11-1', 'N'),
(1030, 'NIF1030', '2023-12-25', 'S'),
(1031, 'NIF1031', '2023-7-23', 'S'),
(1032, 'NIF1032', '2023-4-23', 'S'),
(1033, 'NIF1033', '2023-8-25', 'N'),
(1034, 'NIF1034', '2023-6-13', 'S'),
(1035, 'NIF1035', '2023-4-25', 'S'),
(1036, 'NIF1036', '2023-2-1', 'N'),
(1037, 'NIF1037', '2023-4-18', 'N'),
(1038, 'NIF1038', '2023-10-26', 'N'),
(1039, 'NIF1039', '2023-12-2', 'N'),
(1040, 'NIF1040', '2023-3-3', 'N'),
(1041, 'NIF1041', '2023-10-12', 'N'),
(1042, 'NIF1042', '2023-2-28', 'N'),
(1043, 'NIF1043', '2023-2-16', 'S'),
(1044, 'NIF1044', '2023-2-17', 'S'),
(1045, 'NIF1045', '2023-4-13', 'N'),
(1046, 'NIF1046', '2023-6-7', 'N'),
(1047, 'NIF1047', '2023-8-11', 'S'),
(1048, 'NIF1048', '2023-6-23', 'S'),
(1049, 'NIF1049', '2023-10-13', 'N'),
(1050, 'NIF1050', '2023-12-11', 'S'),
(1051, 'NIF1051', '2023-3-18', 'S'),
(1052, 'NIF1052', '2023-4-27', 'N'),
(1053, 'NIF1053', '2023-9-2', 'S'),
(1054, 'NIF1054', '2023-2-28', 'N'),
(1055, 'NIF1055', '2023-1-25', 'S'),
(1056, 'NIF1056', '2023-1-4', 'S'),
(1057, 'NIF1057', '2023-9-19', 'S'),
(1058, 'NIF1058', '2023-8-22', 'N'),
(1059, 'NIF1059', '2023-3-10', 'S'),
(1060, 'NIF1060', '2023-1-24', 'N'),
(1061, 'NIF1061', '2023-12-6', 'S'),
(1062, 'NIF1062', '2023-11-10', 'S'),
(1063, 'NIF1063', '2023-6-11', 'N'),
(1064, 'NIF1064', '2023-10-2', 'N'),
(1065, 'NIF1065', '2023-1-26', 'S'),
(1066, 'NIF1066', '2023-7-16', 'N'),
(1067, 'NIF1067', '2023-10-5', 'S'),
(1068, 'NIF1068', '2023-6-3', 'N'),
(1069, 'NIF1069', '2023-6-16', 'N'),
(1070, 'NIF1070', '2023-1-21', 'S'),
(1071, 'NIF1071', '2023-11-18', 'S'),
(1072, 'NIF1072', '2023-12-22', 'N'),
(1073, 'NIF1073', '2023-3-9', 'N'),
(1074, 'NIF1074', '2023-8-3', 'N'),
(1075, 'NIF1075', '2023-1-21', 'N'),
(1076, 'NIF1076', '2023-11-10', 'S'),
(1077, 'NIF1077', '2023-4-5', 'S'),
(1078, 'NIF1078', '2023-6-7', 'S'),
(1079, 'NIF1079', '2023-2-14', 'N'),
(1080, 'NIF1080', '2023-8-8', 'N'),
(1081, 'NIF1081', '2023-6-15', 'N'),
(1082, 'NIF1082', '2023-12-3', 'S'),
(1083, 'NIF1083', '2023-9-19', 'S'),
(1084, 'NIF1084', '2023-1-26', 'S'),
(1085, 'NIF1085', '2023-1-17', 'N'),
(1086, 'NIF1086', '2023-4-2', 'N'),
(1087, 'NIF1087', '2023-6-14', 'N'),
(1088, 'NIF1088', '2023-11-12', 'N'),
(1089, 'NIF1089', '2023-9-8', 'S'),
(1090, 'NIF1090', '2023-11-14', 'N'),
(1091, 'NIF1091', '2023-5-5', 'N'),
(1092, 'NIF1092', '2023-1-2', 'S'),
(1093, 'NIF1093', '2023-3-12', 'S'),
(1094, 'NIF1094', '2023-6-9', 'S'),
(1095, 'NIF1095', '2023-5-16', 'N'),
(1096, 'NIF1096', '2023-4-3', 'S'),
(1097, 'NIF1097', '2023-3-6', 'N'),
(1098, 'NIF1098', '2023-6-20', 'N'),
(1099, 'NIF1099', '2023-4-21', 'S'),
(1100, 'NIF1100', '2023-10-2', 'S'),
(1101, 'NIF1101', '2023-5-22', 'S'),
(1102, 'NIF1102', '2023-4-20', 'S'),
(1103, 'NIF1103', '2023-9-19', 'S'),
(1104, 'NIF1104', '2023-3-6', 'S'),
(1105, 'NIF1105', '2023-9-20', 'N'),
(1106, 'NIF1106', '2023-12-19', 'N'),
(1107, 'NIF1107', '2023-9-4', 'S'),
(1108, 'NIF1108', '2023-4-24', 'N'),
(1109, 'NIF1109', '2023-8-28', 'N'),
(1110, 'NIF1110', '2023-1-3', 'S'),
(1111, 'NIF1111', '2023-5-10', 'S'),
(1112, 'NIF1112', '2023-11-5', 'S'),
(1113, 'NIF1113', '2023-4-2', 'S'),
(1114, 'NIF1114', '2023-5-26', 'N'),
(1115, 'NIF1115', '2023-9-9', 'S'),
(1116, 'NIF1116', '2023-8-17', 'N'),
(1117, 'NIF1117', '2023-4-13', 'N'),
(1118, 'NIF1118', '2023-7-19', 'N'),
(1119, 'NIF1119', '2023-3-27', 'S'),
(1120, 'NIF1120', '2023-1-4', 'S'),
(1121, 'NIF1121', '2023-6-12', 'N'),
(1122, 'NIF1122', '2023-11-28', 'S'),
(1123, 'NIF1123', '2023-8-28', 'S'),
(1124, 'NIF1124', '2023-2-7', 'S'),
(1125, 'NIF1125', '2023-3-7', 'N'),
(1126, 'NIF1126', '2023-7-1', 'S'),
(1127, 'NIF1127', '2023-1-5', 'S'),
(1128, 'NIF1128', '2023-8-23', 'S'),
(1129, 'NIF1129', '2023-9-23', 'S'),
(1130, 'NIF1130', '2023-8-21', 'S'),
(1131, 'NIF1131', '2023-5-4', 'N'),
(1132, 'NIF1132', '2023-8-6', 'S'),
(1133, 'NIF1133', '2023-3-24', 'S'),
(1134, 'NIF1134', '2023-7-4', 'N'),
(1135, 'NIF1135', '2023-1-10', 'S'),
(1136, 'NIF1136', '2023-12-28', 'N'),
(1137, 'NIF1137', '2023-6-20', 'S'),
(1138, 'NIF1138', '2023-5-14', 'N'),
(1139, 'NIF1139', '2023-9-7', 'S'),
(1140, 'NIF1140', '2023-4-14', 'N'),
(1141, 'NIF1141', '2023-7-18', 'S'),
(1142, 'NIF1142', '2023-7-3', 'S'),
(1143, 'NIF1143', '2023-3-18', 'S'),
(1144, 'NIF1144', '2023-3-26', 'N'),
(1145, 'NIF1145', '2023-10-18', 'S'),
(1146, 'NIF1146', '2023-7-20', 'S'),
(1147, 'NIF1147', '2023-10-9', 'S'),
(1148, 'NIF1148', '2023-10-3', 'N'),
(1149, 'NIF1149', '2023-1-24', 'S'),
(1150, 'NIF1150', '2023-5-25', 'S'),
(1151, 'NIF1151', '2023-2-7', 'N'),
(1152, 'NIF1152', '2023-4-6', 'S'),
(1153, 'NIF1153', '2023-10-23', 'N'),
(1154, 'NIF1154', '2023-2-28', 'S'),
(1155, 'NIF1155', '2023-3-21', 'N'),
(1156, 'NIF1156', '2023-8-6', 'S'),
(1157, 'NIF1157', '2023-12-10', 'N'),
(1158, 'NIF1158', '2023-2-11', 'N'),
(1159, 'NIF1159', '2023-12-23', 'S'),
(1160, 'NIF1160', '2023-3-1', 'S'),
(1161, 'NIF1161', '2023-12-27', 'N'),
(1162, 'NIF1162', '2023-9-26', 'S'),
(1163, 'NIF1163', '2023-5-12', 'N'),
(1164, 'NIF1164', '2023-1-5', 'S'),
(1165, 'NIF1165', '2023-6-18', 'S'),
(1166, 'NIF1166', '2023-7-25', 'N'),
(1167, 'NIF1167', '2023-1-18', 'N'),
(1168, 'NIF1168', '2023-3-18', 'N'),
(1169, 'NIF1169', '2023-6-2', 'S'),
(1170, 'NIF1170', '2023-5-1', 'S'),
(1171, 'NIF1171', '2023-2-20', 'S'),
(1172, 'NIF1172', '2023-12-26', 'N'),
(1173, 'NIF1173', '2023-1-6', 'N'),
(1174, 'NIF1174', '2023-1-22', 'S'),
(1175, 'NIF1175', '2023-11-14', 'S'),
(1176, 'NIF1176', '2023-1-27', 'N'),
(1177, 'NIF1177', '2023-9-21', 'S'),
(1178, 'NIF1178', '2023-6-16', 'S'),
(1179, 'NIF1179', '2023-9-3', 'S'),
(1180, 'NIF1180', '2023-3-12', 'S'),
(1181, 'NIF1181', '2023-12-24', 'S'),
(1182, 'NIF1182', '2023-9-14', 'N'),
(1183, 'NIF1183', '2023-10-10', 'N'),
(1184, 'NIF1184', '2023-6-28', 'N'),
(1185, 'NIF1185', '2023-3-6', 'N'),
(1186, 'NIF1186', '2023-8-25', 'S'),
(1187, 'NIF1187', '2023-6-15', 'N'),
(1188, 'NIF1188', '2023-4-16', 'S'),
(1189, 'NIF1189', '2023-2-19', 'S'),
(1190, 'NIF1190', '2023-1-22', 'S'),
(1191, 'NIF1191', '2023-3-17', 'N'),
(1192, 'NIF1192', '2023-9-16', 'N'),
(1193, 'NIF1193', '2023-8-5', 'N'),
(1194, 'NIF1194', '2023-1-13', 'S'),
(1195, 'NIF1195', '2023-9-24', 'N'),
(1196, 'NIF1196', '2023-8-21', 'S'),
(1197, 'NIF1197', '2023-8-3', 'S'),
(1198, 'NIF1198', '2023-11-22', 'N'),
(1199, 'NIF1199', '2023-7-8', 'N'),
(1200, 'NIF1200', '2023-11-2', 'S'),
(1201, 'NIF1201', '2023-6-25', 'S'),
(1202, 'NIF1202', '2023-2-28', 'S'),
(1203, 'NIF1203', '2023-2-9', 'N'),
(1204, 'NIF1204', '2023-3-9', 'N'),
(1205, 'NIF1205', '2023-10-1', 'S'),
(1206, 'NIF1206', '2023-1-20', 'N'),
(1207, 'NIF1207', '2023-8-12', 'S'),
(1208, 'NIF1208', '2023-7-8', 'N'),
(1209, 'NIF1209', '2023-12-17', 'S'),
(1210, 'NIF1210', '2023-2-24', 'S'),
(1211, 'NIF1211', '2023-9-23', 'S'),
(1212, 'NIF1212', '2023-6-14', 'N'),
(1213, 'NIF1213', '2023-6-9', 'S'),
(1214, 'NIF1214', '2023-4-6', 'N'),
(1215, 'NIF1215', '2023-10-21', 'S'),
(1216, 'NIF1216', '2023-8-21', 'S'),
(1217, 'NIF1217', '2023-5-4', 'N'),
(1218, 'NIF1218', '2023-11-25', 'S'),
(1219, 'NIF1219', '2023-6-13', 'N'),
(1220, 'NIF1220', '2023-10-17', 'S'),
(1221, 'NIF1221', '2023-5-16', 'S'),
(1222, 'NIF1222', '2023-10-27', 'N'),
(1223, 'NIF1223', '2023-2-17', 'N'),
(1224, 'NIF1224', '2023-7-22', 'S'),
(1225, 'NIF1225', '2023-4-14', 'S'),
(1226, 'NIF1226', '2023-7-24', 'S'),
(1227, 'NIF1227', '2023-8-7', 'S'),
(1228, 'NIF1228', '2023-10-15', 'N'),
(1229, 'NIF1229', '2023-3-12', 'N'),
(1230, 'NIF1230', '2023-7-11', 'S'),
(1231, 'NIF1231', '2023-9-3', 'S'),
(1232, 'NIF1232', '2023-6-11', 'N'),
(1233, 'NIF1233', '2023-6-21', 'N'),
(1234, 'NIF1234', '2023-1-23', 'N'),
(1235, 'NIF1235', '2023-1-9', 'N'),
(1236, 'NIF1236', '2023-10-26', 'N'),
(1237, 'NIF1237', '2023-2-7', 'N'),
(1238, 'NIF1238', '2023-9-2', 'S'),
(1239, 'NIF1239', '2023-8-1', 'S'),
(1240, 'NIF1240', '2023-10-10', 'S'),
(1241, 'NIF1241', '2023-1-17', 'N'),
(1242, 'NIF1242', '2023-6-10', 'S'),
(1243, 'NIF1243', '2023-2-2', 'N'),
(1244, 'NIF1244', '2023-7-15', 'S'),
(1245, 'NIF1245', '2023-9-25', 'S'),
(1246, 'NIF1246', '2023-9-28', 'S'),
(1247, 'NIF1247', '2023-7-16', 'N'),
(1248, 'NIF1248', '2023-7-9', 'S'),
(1249, 'NIF1249', '2023-1-1', 'N'),
(1250, 'NIF1250', '2023-5-2', 'N'),
(1251, 'NIF1251', '2023-2-13', 'N'),
(1252, 'NIF1252', '2023-9-28', 'S'),
(1253, 'NIF1253', '2023-9-18', 'S'),
(1254, 'NIF1254', '2023-12-1', 'N'),
(1255, 'NIF1255', '2023-1-19', 'N'),
(1256, 'NIF1256', '2023-7-7', 'N'),
(1257, 'NIF1257', '2023-5-5', 'S'),
(1258, 'NIF1258', '2023-4-4', 'S'),
(1259, 'NIF1259', '2023-3-19', 'S'),
(1260, 'NIF1260', '2023-6-26', 'S'),
(1261, 'NIF1261', '2023-2-5', 'N'),
(1262, 'NIF1262', '2023-7-5', 'S'),
(1263, 'NIF1263', '2023-5-8', 'N'),
(1264, 'NIF1264', '2023-3-5', 'S'),
(1265, 'NIF1265', '2023-6-6', 'S'),
(1266, 'NIF1266', '2023-2-14', 'S'),
(1267, 'NIF1267', '2023-2-15', 'S'),
(1268, 'NIF1268', '2023-8-23', 'S'),
(1269, 'NIF1269', '2023-10-24', 'S'),
(1270, 'NIF1270', '2023-9-3', 'S'),
(1271, 'NIF1271', '2023-1-27', 'N'),
(1272, 'NIF1272', '2023-11-20', 'N'),
(1273, 'NIF1273', '2023-5-22', 'S'),
(1274, 'NIF1274', '2023-3-15', 'S'),
(1275, 'NIF1275', '2023-5-14', 'N'),
(1276, 'NIF1276', '2023-7-8', 'N'),
(1277, 'NIF1277', '2023-11-2', 'N'),
(1278, 'NIF1278', '2023-4-12', 'N'),
(1279, 'NIF1279', '2023-2-18', 'S'),
(1280, 'NIF1280', '2023-9-28', 'S'),
(1281, 'NIF1281', '2023-11-21', 'S'),
(1282, 'NIF1282', '2023-11-26', 'N'),
(1283, 'NIF1283', '2023-3-26', 'S'),
(1284, 'NIF1284', '2023-9-22', 'S'),
(1285, 'NIF1285', '2023-7-24', 'N'),
(1286, 'NIF1286', '2023-4-16', 'N'),
(1287, 'NIF1287', '2023-8-8', 'N'),
(1288, 'NIF1288', '2023-2-5', 'N'),
(1289, 'NIF1289', '2023-11-2', 'S'),
(1290, 'NIF1290', '2023-8-26', 'N'),
(1291, 'NIF1291', '2023-5-27', 'S'),
(1292, 'NIF1292', '2023-5-27', 'S'),
(1293, 'NIF1293', '2023-1-18', 'S'),
(1294, 'NIF1294', '2023-12-19', 'S'),
(1295, 'NIF1295', '2023-8-19', 'N'),
(1296, 'NIF1296', '2023-2-4', 'S'),
(1297, 'NIF1297', '2023-5-12', 'S'),
(1298, 'NIF1298', '2023-4-5', 'N'),
(1299, 'NIF1299', '2023-9-1', 'N'),
(1300, 'NIF1300', '2023-10-5', 'S'),
(1301, 'NIF1301', '2023-4-24', 'S'),
(1302, 'NIF1302', '2023-11-23', 'N'),
(1303, 'NIF1303', '2023-9-14', 'N'),
(1304, 'NIF1304', '2023-4-2', 'N'),
(1305, 'NIF1305', '2023-3-7', 'S'),
(1306, 'NIF1306', '2023-1-11', 'N'),
(1307, 'NIF1307', '2023-9-8', 'N'),
(1308, 'NIF1308', '2023-2-20', 'N'),
(1309, 'NIF1309', '2023-10-5', 'S'),
(1310, 'NIF1310', '2023-1-3', 'N'),
(1311, 'NIF1311', '2023-9-4', 'N'),
(1312, 'NIF1312', '2023-12-10', 'N'),
(1313, 'NIF1313', '2023-11-1', 'S'),
(1314, 'NIF1314', '2023-9-7', 'S'),
(1315, 'NIF1315', '2023-4-23', 'N'),
(1316, 'NIF1316', '2023-3-15', 'N'),
(1317, 'NIF1317', '2023-1-4', 'N'),
(1318, 'NIF1318', '2023-1-25', 'N'),
(1319, 'NIF1319', '2023-7-11', 'N'),
(1320, 'NIF1320', '2023-1-13', 'N'),
(1321, 'NIF1321', '2023-1-17', 'S'),
(1322, 'NIF1322', '2023-11-4', 'N'),
(1323, 'NIF1323', '2023-6-11', 'S'),
(1324, 'NIF1324', '2023-6-26', 'N'),
(1325, 'NIF1325', '2023-5-14', 'S'),
(1326, 'NIF1326', '2023-1-9', 'N'),
(1327, 'NIF1327', '2023-2-11', 'S'),
(1328, 'NIF1328', '2023-11-17', 'N'),
(1329, 'NIF1329', '2023-4-28', 'S'),
(1330, 'NIF1330', '2023-8-28', 'S'),
(1331, 'NIF1331', '2023-11-18', 'N'),
(1332, 'NIF1332', '2023-7-4', 'N'),
(1333, 'NIF1333', '2023-2-6', 'N'),
(1334, 'NIF1334', '2023-5-15', 'N'),
(1335, 'NIF1335', '2023-6-21', 'S'),
(1336, 'NIF1336', '2023-10-16', 'S'),
(1337, 'NIF1337', '2023-4-8', 'S'),
(1338, 'NIF1338', '2023-11-14', 'N'),
(1339, 'NIF1339', '2023-11-5', 'S'),
(1340, 'NIF1340', '2023-7-16', 'S'),
(1341, 'NIF1341', '2023-4-2', 'N'),
(1342, 'NIF1342', '2023-8-16', 'S'),
(1343, 'NIF1343', '2023-1-21', 'N'),
(1344, 'NIF1344', '2023-6-12', 'N'),
(1345, 'NIF1345', '2023-8-24', 'S'),
(1346, 'NIF1346', '2023-7-10', 'N'),
(1347, 'NIF1347', '2023-9-18', 'S'),
(1348, 'NIF1348', '2023-11-14', 'N'),
(1349, 'NIF1349', '2023-5-28', 'N'),
(1350, 'NIF1350', '2023-3-15', 'S'),
(1351, 'NIF1351', '2023-9-1', 'N'),
(1352, 'NIF1352', '2023-6-20', 'S'),
(1353, 'NIF1353', '2023-4-15', 'N'),
(1354, 'NIF1354', '2023-12-3', 'S'),
(1355, 'NIF1355', '2023-7-19', 'N'),
(1356, 'NIF1356', '2023-7-22', 'S'),
(1357, 'NIF1357', '2023-4-3', 'S'),
(1358, 'NIF1358', '2023-6-4', 'N'),
(1359, 'NIF1359', '2023-3-16', 'S'),
